
Similarity
Label,n,CT-Ter-2,CT-Ter-10,CT-3,CT-8.2,CT-9
CT-Ter-2,308,0.8698140961063865,0.8150084055173826,0.42505686788800146,0.742279427261566,0.7824465736796715
CT-Ter-10,307,0.8150084055173826,0.8909865859576686,0.4401576116876361,0.7775148089862006,0.8176885650941634
CT-3,267,0.42505686788800146,0.4401576116876361,0.9994423907638486,0.1318173653065817,0.2651001786202278
CT-8.2,222,0.742279427261566,0.7775148089862006,0.1318173653065817,0.8347203819124229,0.7911515050826485
CT-9,250,0.7824465736796715,0.8176885650941634,0.2651001786202278,0.7911515050826485,0.8706151570725855

Likeness
Label,n,CT-Ter-2,CT-Ter-10,CT-3,CT-8.2,CT-9
CT-Ter-2,308,1.0,0.7906989611609693,0.3015591948845414,0.7071598897699111,0.7593398610714562
CT-Ter-10,307,0.7906989611609693,1.0,0.2646520410038472,0.7579086899056644,0.8022798065992316
CT-3,267,0.3015591948845414,0.2646520410038472,1.0,0.10561074198921483,0.145397136168829
CT-8.2,222,0.7071598897699111,0.7579086899056644,0.10561074198921483,1.0,0.808470891473978
CT-9,250,0.7593398610714562,0.8022798065992316,0.145397136168829,0.808470891473978,1.0

Kolgomorov-Smirnov Dmax
Label,n,CT-Ter-2,CT-Ter-10,CT-3,CT-8.2,CT-9
CT-Ter-2,308,0.0,0.16452684123693895,0.8027262999173111,0.31838656838656837,0.22618181818181818
CT-Ter-10,307,0.16452684123693895,0.0,0.7687296416938111,0.36837162895794817,0.21798045602605864
CT-3,267,0.8027262999173111,0.7687296416938111,0.0,0.978236663629922,0.9045093632958802
CT-8.2,222,0.31838656838656837,0.36837162895794817,0.978236663629922,0.0,0.2289009009009009
CT-9,250,0.22618181818181818,0.21798045602605864,0.9045093632958802,0.2289009009009009,0.0

Kolgomorov-Smirnov p-value
Label,n,CT-Ter-2,CT-Ter-10,CT-3,CT-8.2,CT-9
CT-Ter-2,308,1.0,0.00038055459399437736,8.300277514140995e-93,4.378582136251611e-12,1.0959442807822405e-06
CT-Ter-10,307,0.00038055459399437736,1.0,1.0102999213948028e-83,4.367320513181769e-16,3.1328350321567213e-06
CT-3,267,8.300277514140995e-93,1.0102999213948028e-83,1.0,5.955635563486651e-134,3.052998379632497e-113
CT-8.2,222,4.378582136251611e-12,4.367320513181769e-16,5.955635563486651e-134,1.0,6.685658687884601e-06
CT-9,250,1.0959442807822405e-06,3.1328350321567213e-06,3.052998379632497e-113,6.685658687884601e-06,1.0

Kuiper Vmax
Label,n,CT-Ter-2,CT-Ter-10,CT-3,CT-8.2,CT-9
CT-Ter-2,308,0.0,0.2513642709082449,0.804975922953451,0.35881010881010883,0.31200000000000006
CT-Ter-10,307,0.2513642709082449,0.0,0.7868096475496834,0.4220148487249464,0.2653029315960913
CT-3,267,0.804975922953451,0.7868096475496834,0.0,0.978236663629922,0.9092734082397004
CT-8.2,222,0.35881010881010883,0.4220148487249464,0.978236663629922,0.0,0.23088288288288286
CT-9,250,0.31200000000000006,0.2653029315960913,0.9092734082397004,0.23088288288288286,0.0

Cross-correlation of kernal density estimation
Label,n,CT-Ter-2,CT-Ter-10,CT-3,CT-8.2,CT-9
CT-Ter-2,308,1.0,0.8945031927446159,0.024889088224062786,0.8488271627035713,0.8514337605603027
CT-Ter-10,307,0.8945031927446159,1.0,0.028876991370653495,0.950123446742216,0.9432590367567595
CT-3,267,0.024889088224062786,0.028876991370653495,1.0,2.384299769801783e-06,0.0018053310554274529
CT-8.2,222,0.8488271627035713,0.950123446742216,2.384299769801783e-06,1.0,0.963651860286425
CT-9,250,0.8514337605603027,0.9432590367567595,0.0018053310554274529,0.963651860286425,1.0

CT-Ter-2,308,0.0,88.85045144715394,225.2563861022969,107.0248533136698,51.52948026579544
CT-Ter-10,307,88.85045144715394,0.0,239.20974357763768,163.9653781999591,100.42185963521436
CT-3,267,225.2563861022969,239.20974357763768,0.0,274.7473985001567,244.54743637269885
CT-8.2,222,107.0248533136698,163.9653781999591,274.7473985001567,0.0,73.77404590785835
CT-9,250,51.52948026579544,100.42185963521436,244.54743637269885,73.77404590785835,0.0
