Peak Age

CT-8.2
8
34
CT-3
165,306,333
39,176,14
CT-9
8,96,106
28,11,19
CT-Ter-10
8,16,63,81,166,309
17,37,7,10,21,24
CT-Ter-2
7,163,309
30,63,14
