Sample,Age_Ma,Be10_burial,Prod_Rate,Erosion_mMyr,Error_mMyr,Lat,Lon
CT-Ter-2,1.0000,84063.3984,6.6732,48.5434,4.2573,-35.0570,-72.1640
CT-Ter-10,0.5000,154063.4537,6.5302,25.7766,1.2715,-35.0570,-72.1640
