Column1,Column2
1.0,2.7755575615628914e-17
0.9332334149825814,0.06676658501741853
0.9591784720991866,0.04082152790081336
0.9611010995806706,0.03889890041932945
0.9724603954495425,0.02753960455045749
0.9935440852673796,0.006455914732620501
0.9929048993619427,0.007095100638057226
1.0,1.249000902703301e-16
0.9470016441454736,0.05299835585452641
1.0,1.3877787807814457e-17
1.0,6.245004513516506e-17
0.96814242144511,0.03185757855489012
1.0,8.326672684688674e-17
0.9982291301402493,0.0017708698597507513
0.9904929587304143,0.009507041269585771
0.9999999999999996,4.996003610813204e-16
0.9999999999999999,1.3877787807814457e-17
0.9985132261896347,0.0014867738103651912
1.0,0.0
1.0,0.0
1.0,9.71445146547012e-17
0.9621666480921034,0.037833351907896585
0.9561872004315038,0.04381279956849604
1.0,0.0
1.0,2.0816681711721685e-17
0.9776060612131519,0.0223939387868483
0.9764179790291895,0.023582020970810517
1.0,0.0
1.0,0.0
1.0,0.0
0.9664671873723805,0.03353281262761956
0.9938583015334008,0.006141698466599121
1.0,1.1102230246251565e-16
0.9543515306340089,0.04564846936599105
1.0,0.0
0.9236799949427795,0.07632000505722046
0.9309815532610306,0.06901844673896938
0.9999999999999997,3.608224830031759e-16
0.942624627934058,0.05737537206594195
1.0,0.0
0.9535183995313478,0.04648160046865235
0.9771059821323409,0.022894017867659135
0.9772975636812303,0.022702436318769798
0.9586875184264101,0.04131248157358993
0.9894698586751084,0.010530141324891778
0.9875397240609903,0.01246027593900954
0.9810482225112994,0.018951777488700586
1.0,0.0
1.0,5.551115123125783e-17
0.9479373940837691,0.05206260591623107
0.951905381096951,0.048094618903049106
0.9875382539955705,0.012461746004429581
0.9723439761122504,0.027656023887749476
0.9214009676956614,0.07859903230433858
0.9301454760988186,0.06985452390118149
1.0,0.0
0.9999999999999998,2.671474153004283e-16
1.0,0.0
0.9731339506766912,0.026866049323308806
0.9672025852971602,0.03279741470283985
0.9999999999999999,1.2836953722228372e-16
1.0,1.1796119636642288e-16
0.9929695017427871,0.007030498257212841
1.0,1.1102230246251565e-16
0.9880632138481902,0.011936786151809901
0.982865642845213,0.017134357154786988
0.9999999999999998,2.220446049250313e-16
0.9999999999999994,6.106226635438361e-16
1.0,2.7755575615628914e-17
0.9878625560822114,0.012137443917788685
1.0,3.469446951953614e-17
1.0,0.0
0.9649547113973257,0.035045288602674446
1.0,0.0
0.9775684680025772,0.02243153199742275
0.9935415709507237,0.006458429049276341
1.0,4.163336342344337e-17
0.9814365409083513,0.01856345909164865
1.0,1.249000902703301e-16
0.9828611925201511,0.017138807479848858
1.0,1.1102230246251565e-16
