Peak Age

CT-Ter-2
7,163,309
79,73,16
CT-Ter-10
8,16,63,81,166,309
47,84,9,14,23,35
CT-3
165,306,333
49,200,87
CT-8.2
8
71
CT-9
8,96,106
55,16,25
